user_id,status
3,LOW
10,LOW
98,LOW
139,MEDIUM
185,LOW
218,LOW
241,LOW
276,LOW
373,HIGH
397,HIGH
500,MEDIUM
505,LOW
506,MEDIUM
572,LOW
577,LOW
778,CRITICAL
813,LOW
917,CRITICAL
935,LOW
1097,MEDIUM
1303,LOW
1331,LOW
1333,LOW
1339,LOW
1364,CRITICAL
1372,LOW
1400,LOW
1442,LOW
1568,LOW
1659,LOW
1663,LOW
1681,LOW
1718,LOW
1767,MEDIUM
1827,LOW
1858,LOW
1980,LOW
1987,LOW
2010,CRITICAL
2028,CRITICAL
2043,CRITICAL
2057,MEDIUM
2085,LOW
2182,LOW
2256,MEDIUM
2306,MEDIUM
2359,CRITICAL
2439,LOW
2461,LOW
2650,LOW
2655,MEDIUM
2681,CRITICAL
2710,LOW
2715,LOW
2733,LOW
2786,MEDIUM
2846,CRITICAL
2874,LOW
2879,LOW
2953,LOW
2973,LOW
2994,HIGH
3054,LOW
3056,LOW
3082,LOW
3240,LOW
3265,LOW
3415,CRITICAL
3456,LOW
3480,LOW
3502,LOW
3553,CRITICAL
3565,LOW
3567,LOW
3615,LOW
3617,MEDIUM
3631,LOW
3730,MEDIUM
3784,LOW
3808,LOW
3857,LOW
3895,LOW
3934,LOW
3942,LOW
4001,LOW
4045,LOW
4047,LOW
4199,LOW
4234,LOW
4282,CRITICAL
4358,LOW
4543,LOW
4574,CRITICAL
4637,LOW
4650,LOW
4676,MEDIUM
4683,LOW
4724,LOW
4764,CRITICAL
